, ID,Nationality,Age,DaysSinceCreation,AverageLeadTime,LodgingRevenue,OtherRevenue,BookingsCanceled,BookingsNoShowed,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,DaysSinceFirstStay,DistributionChannel,MarketSegment,SRHighFloor,SRLowFloor,SRAccessibleRoom,SRMediumFloor,SRBathtub,SRShower,SRCrib,SRKingSizeBed,SRTwinBed,SRNearElevator,SRAwayFromElevator,SRNoAlcoholInMiniBar,SRQuietRoom
51656,66004,NLD,47,153,16,156.0,30.5,0,0,1,4,2,155,155,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
51657,66005,NLD,29,153,16,156.0,28.0,0,0,1,4,2,155,155,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
51690,66082,NLD,33,153,16,156.0,30.0,0,0,1,4,2,155,155,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
51806,66373,PRT,50,150,3,126.0,7.0,0,0,1,1,1,151,151,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
52049,66947,PRT,51,145,52,1599.0,206.0,4,0,11,26,26,13,147,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
52102,67073,PRT,46,144,1,74.0,36.5,0,0,1,1,1,145,145,Corporate,Corporate,1,0,0,0,0,0,0,1,0,0,1,0,0
52398,67762,ESP,41,139,7,400.0,70.0,0,0,1,10,5,144,144,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
52496,67985,ESP,49,137,12,6431.0,364.0,0,0,1,59,59,196,196,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
52874,68898,ISR,42,131,1,632.0,132.5,0,0,1,5,5,136,136,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
53341,69945,ESP,35,124,0,234.0,42.0,0,0,1,2,1,125,125,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
