, ID,Nationality,Age,DaysSinceCreation,AverageLeadTime,LodgingRevenue,OtherRevenue,BookingsCanceled,BookingsNoShowed,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,DaysSinceFirstStay,DistributionChannel,MarketSegment,SRHighFloor,SRLowFloor,SRAccessibleRoom,SRMediumFloor,SRBathtub,SRShower,SRCrib,SRKingSizeBed,SRTwinBed,SRNearElevator,SRAwayFromElevator,SRNoAlcoholInMiniBar,SRQuietRoom
26475,29480,GRC,57,578,11,1370.0,284.7,1,0,4,19,14,53,582,Corporate,Aviation,0,0,0,0,0,0,0,1,0,0,0,0,0
26571,29577,PRT,46,576,20,0.0,3.0,0,0,3,9,9,254,579,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0
27077,30099,PRT,44,569,15,413.0,104.0,0,0,5,7,7,30,569,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
27398,30432,PRT,42,564,3,0.0,0.0,0,0,3,6,3,70,675,Direct,Complementary,0,0,0,0,0,0,0,0,0,0,0,0,0
28835,31941,PRT,34,542,13,400.0,54.0,0,0,4,5,5,26,543,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
29117,32237,GBR,64,538,71,600.0,110.0,0,0,3,10,5,538,541,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
30655,33822,PRT,50,514,4,372.1,59.9,0,0,3,8,6,469,516,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
30906,34077,PRT,50,510,4,413.0,51.0,1,0,7,7,7,308,511,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
32616,35865,PRT,52,483,24,313.4,51.3,0,0,3,3,3,482,484,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
32941,36194,PRT,66,478,11,500.0,30.0,0,0,3,6,3,230,479,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,1,0,0,0,1
34293,37597,SWE,60,459,19,1200.0,105.0,0,0,3,9,9,28,462,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
34953,38268,DEU,51,451,30,5397.0,663.97,0,0,3,17,10,448,455,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,1
35166,38484,ESP,50,447,5,1103.0,33.0,0,0,9,9,9,315,448,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
35211,38530,PRT,48,446,7,360.0,37.0,0,0,4,5,5,82,447,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
35245,38565,ESP,49,446,14,905.0,50.0,0,0,3,5,24,63,450,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0
35383,38714,NAM,62,444,2,9180.0,1144.5,1,0,2,16,8,147,452,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
35426,38760,AGO,44,443,6,2118.0,126.0,0,0,3,10,5,98,444,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
35773,39117,PRT,62,439,15,360.0,84.5,0,1,4,4,5,287,440,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
35779,39123,PRT,48,439,15,838.0,100.0,1,2,7,10,10,167,440,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
35927,39274,PRT,67,437,13,0.0,47.0,0,0,3,6,3,270,438,Direct,Complementary,0,0,0,0,0,0,0,0,0,0,0,0,0
36211,39580,PRT,58,433,221,0.0,0.0,0,0,3,9,9,173,436,Travel Agent/Operator,Complementary,0,0,0,0,0,0,0,0,0,0,0,0,0
36645,40029,PRT,23,426,5,563.0,49.0,0,0,3,3,3,50,427,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
37098,40491,ESP,45,419,11,455.0,35.0,0,0,3,5,5,209,421,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0
37164,40559,CAN,49,418,6,348.0,14.0,2,0,1,2,2,420,420,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0
37183,40578,FRA,54,417,5,1914.0,580.5,0,0,5,16,14,203,419,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
37604,41024,DEU,49,410,6,824.6,71.5,0,0,4,9,9,377,414,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
37737,41161,AGO,47,408,10,2448.28,201.7,0,0,5,34,20,197,411,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0
38033,41467,PRT,58,403,4,378.0,168.0,0,0,3,8,6,23,405,Direct,Direct,0,0,0,0,0,0,0,0,1,0,0,0,0
38088,41522,FRA,58,401,5,854.0,316.2,0,0,4,11,9,297,404,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
38201,41646,PRT,48,400,6,417.0,56.0,0,0,4,8,7,21,401,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
38393,41855,NLD,54,395,1,1396.6,340.0,0,0,6,17,17,35,400,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0
38594,42065,FRA,54,390,6,782.0,298.4,0,0,3,8,7,313,391,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
38607,42082,PRT,45,389,5,296.0,30.5,0,0,3,4,4,326,391,Travel Agent/Operator,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
38640,42117,NLD,48,389,61,2894.0,489.95,0,0,11,30,24,34,825,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
38953,42436,ESP,28,381,8,2318.8,265.6,0,0,7,28,28,315,385,Electronic Distribution,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0
39038,42521,PRT,41,379,18,271.0,169.0,0,0,3,8,3,380,1070,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
39088,42574,ESP,28,376,8,385.0,35.0,0,0,3,5,5,357,377,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
39115,42603,DEU,61,374,7,878.37,57.0,0,0,5,7,7,253,375,Travel Agent/Operator,Travel Agent/Operator,1,0,0,0,0,0,0,0,0,0,0,0,1
39131,42620,PRT,48,373,4,1003.0,496.5,0,0,12,15,15,81,375,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
39138,42627,PRT,58,373,19,891.0,248.0,3,1,9,16,15,189,375,Corporate,Corporate,0,0,0,0,0,0,0,1,1,0,0,0,0
39144,42633,PRT,50,373,17,1205.0,130.0,0,0,9,19,19,33,376,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
39228,42719,PRT,16,369,1,137.0,20.0,0,0,3,7,3,233,370,Direct,Complementary,0,0,0,0,0,0,0,0,0,0,0,0,0
39888,43422,PRT,44,355,1,532.85,167.65,0,0,4,6,4,328,356,Corporate,Corporate,0,0,0,0,0,0,0,0,1,0,0,0,0
39989,43613,PRT,27,351,9,97.5,27.5,0,0,4,7,4,184,352,Corporate,Complementary,0,0,0,0,0,0,0,1,1,0,0,0,0
40088,43805,FRA,58,347,14,438.0,789.5,1,0,2,7,5,335,349,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
40160,43900,PRT,52,346,4,649.0,140.6,1,0,8,9,9,45,347,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
40174,43927,GRC,63,345,3,1486.0,183.2,0,0,3,19,19,40,355,Corporate,Aviation,0,0,0,0,0,0,0,1,0,0,0,0,0
40670,44748,PRT,41,335,2,311.0,28.0,0,0,4,4,4,243,336,Travel Agent/Operator,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
40723,44842,GBR,51,333,40,519.0,130.5,0,0,4,5,5,203,334,Electronic Distribution,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
40748,44878,PRT,47,333,23,800.0,108.0,2,0,9,10,10,125,334,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
40935,45190,FRA,67,327,1,257.0,34.0,0,0,3,3,3,13,328,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
41083,45426,PRT,45,324,3,295.0,69.0,0,0,3,5,5,46,326,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
41108,45476,PRT,48,324,23,258.0,30.0,0,1,3,4,3,11,325,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
41179,45616,PRT,59,323,15,726.0,71.0,0,1,5,10,10,11,326,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
41240,45754,IRL,44,321,7,688.0,313.0,0,0,3,4,4,266,323,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
41458,46234,PRT,28,317,0,448.0,72.97,0,0,4,8,4,113,318,Travel Agent/Operator,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0
41680,46686,GBR,50,312,31,1092.0,59.0,0,0,3,4,4,248,313,Travel Agent/Operator,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0
41878,47053,ESP,45,308,4,1539.5,110.0,0,0,4,14,14,273,309,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,1
41925,47159,PRT,62,307,11,354.0,42.0,0,0,4,6,6,26,308,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
42005,47295,SWE,34,306,7,2293.0,228.0,0,0,3,17,14,303,316,Electronic Distribution,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
42048,47375,PRT,47,305,24,900.0,110.0,0,0,7,10,10,69,306,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
42275,47802,PRT,68,301,13,438.0,89.0,1,0,5,8,5,97,302,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
